"","Date","eur_close","MNB","ECB","mean_kinfo","mean_matolcsy","mean_nagy","mean_varga","max_kinfo","max_matolcsy","max_nagy","max_varga","eurczk","eurpln","eurron","cetop","FED","BUX"
"52",2018-08-12,322.85,0.009,0,0,0,0,0,0,0,0,0,25.656400680542,4.29239988327026,4.65500020980835,2103.66927786617,0.02,36844.993176
"53",2018-08-13,322.707,0.009,0,0,0,0,0,0,0,0,0,25.7474002838135,4.29940986633301,4.65320014953613,2044.67472203749,0.02,35693.828284
"54",2018-08-14,322.753,0.009,0,0,0,0,0,0,0,0,0,25.693000793457,4.30315017700195,4.64860010147095,2050.33611637977,0.02,36006.196276
"55",2018-08-15,324.455,0.009,0,0,0,0,0,0,0,0,0,25.7514991760254,4.32130002975464,4.65869998931885,2038.07613108816,0.02,35826.140737
"56",2018-08-16,323.822,0.009,0,0,0,0,0,0,0,0,0,25.7205009460449,4.30520009994507,4.6560001373291,2053.28186708941,0.02,36472.990046
"57",2018-08-19,322.899,0.009,0,0,0,0,0,0,0,0,0,25.6555004119873,4.30389976501465,4.65210008621216,2053.28186708941,0.02,36472.990046
"58",2018-08-20,323.511,0.009,0,0,0,0,0,0,0,0,0,25.7287998199463,4.30655002593994,4.64260005950928,2053.28186708941,0.02,36472.990046
"59",2018-08-21,323.47,0.009,0,0,0,0,0,0,0,0,0,25.7171993255615,4.29339981079102,4.63700008392334,2073.52753794617,0.02,37007.661886
"60",2018-08-22,322.484,0.009,0,0,0,0,0,0,0,0,0,25.7208995819092,4.26959991455078,4.64079999923706,2074.08066960403,0.02,36365.904344
"61",2018-08-23,324.256,0.009,0,0,0,0,0,0,0,0,0,25.7152996063232,4.28811979293823,4.62849998474121,2080.93177471374,0.02,36186.314547
"62",2018-08-26,323.348,0.009,0,0,0,0,0,0,0,0,0,25.7413997650146,4.27504014968872,4.63600015640259,2080.93177471374,0.02,36186.314547
"63",2018-08-27,323.553,0.009,0,0,0,0,0,0,0,0,0,25.6849002838135,4.27040004730225,4.63880014419556,2110.84041422828,0.02,36685.789803
"64",2018-08-28,323.607,0.009,0,0,0,0,0,0,0,0,0,25.6793994903564,4.26916980743408,4.63600015640259,2121.73985230946,0.02,36818.93111
"65",2018-08-29,325.281,0.009,0,0,0,0,0,0,0,0,0,25.7154998779297,4.28586006164551,4.62430000305176,2114.77776780418,0.02,37234.857678
"66",2018-08-30,326.683,0.009,0,0,0,0,0,0,0,0,0,25.7563991546631,4.29860019683838,4.6451997756958,2100.30601569872,0.02,37225.076139
"67",2018-09-02,326.24,0.009,0,0,0,0,0,0,0,0,0,25.7287006378174,4.30200004577637,4.62919998168945,2100.30601569872,0.02,37225.076139
"68",2018-09-03,326.306,0.009,0,0,0,0,0,0,0,0,0,25.7198009490967,4.29109001159668,4.62270021438599,2095.06374865369,0.02,36971.856413
"69",2018-09-04,327.371,0.009,0,0,0,0,0,0,0,0,0,25.7329998016357,4.31120014190674,4.62580013275146,2075.52394827237,0.02,36968.107046
"70",2018-09-05,327.429,0.009,0,0,0,0,0,0,0,0,0,25.732400894165,4.32499980926514,4.62979984283447,2064.01148835507,0.02,37135.327913
"71",2018-09-06,325.728,0.009,0,0,0,0,0,0,0,0,0,25.7078990936279,4.32081985473633,4.63490009307861,2069.34184120769,0.02,37241.815511
"72",2018-09-09,324.888,0.009,0,0,0,0,0,0,0,0,0,25.6749000549316,4.31120014190674,4.63649988174438,2069.34184120769,0.02,37241.815511
"73",2018-09-10,324.573,0.009,0,0,0,0,0,0,0,0,0,25.6322994232178,4.3110499382019,4.62290000915527,2074.75215958822,0.02,37202.889371
"74",2018-09-11,324.263,0.009,0,0,0,0,0,0,0,0,0,25.6417007446289,4.30350017547607,4.62589979171753,2048.40450327411,0.02,36371.942623
"75",2018-09-12,324.665,0.009,0,0,0,0,0,0,0,0,0,25.5681991577148,4.30690002441406,4.63259983062744,2033.60925210273,0.02,36104.072826
"76",2018-09-13,323.847,0.009,0,0,0,0,0,0,0,0,0,25.5004005432129,4.30305004119873,4.63399982452393,2048.43666986078,0.02,36156.035457
"77",2018-09-16,324.466,0.009,0,0,0,0,0,0,0,0,0,25.4463005065918,4.30424976348877,4.64209985733032,2048.43666986078,0.02,36156.035457
"78",2018-09-17,324.546,0.009,0,0,0,0,0,0,0,0,0,25.4253997802734,4.29860019683838,4.64060020446777,2035.14539589646,0.02,35819.900389
"79",2018-09-18,323.551,0.009,0,0,0,0,0,0,0,0,0,25.4127998352051,4.28622007369995,4.64669990539551,2057.36847726993,0.02,36110.885356
"80",2018-09-19,322.9,0.009,0,0,0,0,0,0,0,0,0,25.4923000335693,4.28549003601074,4.64419984817505,2076.37571747837,0.02,36386.403449
"81",2018-09-20,323.108,0.009,0,0,0,0,0,0,0,0,0,25.5450992584229,4.2898998260498,4.65019989013672,2071.47236126402,0.02,36134.329465
"82",2018-09-23,323.888,0.009,0,0,0,0,0,0,0,0,0,25.5841007232666,4.30819988250732,4.65259981155396,2071.47236126402,0.02,36134.329465
"83",2018-09-24,323.186,0.009,0,0,0,0,0,0,0,0,0,25.5828990936279,4.29617023468018,4.65469980239868,2059.92173197394,0.02,35786.544999
"84",2018-09-25,323.866,0.009,0,0,0,0,0,0,0,0,0,25.5751991271973,4.28649997711182,4.65299987792969,2075.69735950597,0.02,35868.880146
"85",2018-09-26,323.191,0.009,0,0,0,0,0,0,0,0,0,25.6205997467041,4.27055978775024,4.65689992904663,2080.40467648668,0.0225,35996.040877
"86",2018-09-27,323.291,0.009,0,0,0,0,0,0,0,0,0,25.6578006744385,4.26884984970093,4.65759992599487,2092.12466643757,0.0225,36471.348227
"87",2018-09-30,322.939,0.009,0,0,0,0,0,0,0,0,0,25.7490005493164,4.28011989593506,4.65390014648438,2092.12466643757,0.0225,36471.348227
"88",2018-10-01,323.001,0.009,0,0,0,0,0,0,0,0,0,25.7768993377686,4.28579998016357,4.65719985961914,2081.72111051599,0.0225,36883.491769
"89",2018-10-02,322.796,0.009,0,0,0,0,0,0,0,0,0,25.7940998077393,4.29659986495972,4.66079998016357,2077.78313925616,0.0225,36876.748285
"90",2018-10-03,322.71,0.009,0,0,0,0,0,0,0,0,0,25.6991004943848,4.29909992218018,4.66249990463257,2093.70708483493,0.0225,37212.94497
"91",2018-10-04,323.993,0.009,0,0,0,0,0,0,0,0,0,25.7665004730225,4.30910015106201,4.66709995269775,2081.9467045759,0.0225,37146.727337
"92",2018-10-07,324.374,0.009,0,0,0,0,0,0,0,0,0,25.7569999694824,4.30275011062622,4.66909980773926,2081.9467045759,0.0225,37146.727337
"93",2018-10-08,325.194,0.009,0,0,0,0,0,0,0,0,0,25.7602005004883,4.31680011749268,4.66370010375977,2043.07776864696,0.0225,36768.022858
"94",2018-10-09,324.38,0.009,0,0,0,0,0,0,0,0,0,25.8090991973877,4.30189990997314,4.6577000617981,2060.72877502402,0.0225,37109.240931
"95",2018-10-10,325.392,0.009,0,0,0,0,0,0,0,0,0,25.8502998352051,4.31981992721558,4.66069984436035,2028.7074219599,0.0225,36821.117213
"96",2018-10-11,325.041,0.009,0,0,0,0,0,0,0,0,0,25.8047008514404,4.30493021011353,4.66149997711182,1998.12917251635,0.0225,35904.541792
"97",2018-10-14,323.922,0.009,0,0,0,0,0,0,0,0,0,25.7856998443604,4.29589986801147,4.66160011291504,1998.12917251635,0.0225,35904.541792
"98",2018-10-15,322.353,0.009,0,0,0,0,0,0,0,0,0,25.8027992248535,4.28875017166138,4.65850019454956,2018.39171778058,0.0225,36564.149549
"99",2018-10-16,321.496,0.009,0,0,0,0,0,0,0,0,0,25.8171997070312,4.28272008895874,4.65990018844604,2056.74676226769,0.0225,37445.673463
"100",2018-10-17,321.706,0.009,0,0,0,0,0,0,0,0,0,25.8153991699219,4.28930997848511,4.65959978103638,2051.81165392352,0.0225,37399.110456
"101",2018-10-18,322.851,0.009,0,0,0,0,0,0,0,0,0,25.8603992462158,4.30333995819092,4.66379976272583,2040.8538572753,0.0225,37485.014647
"102",2018-10-21,322.652,0.009,0,0,0,0,0,0,0,0,0,25.8565998077393,4.29544019699097,4.66639995574951,2040.8538572753,0.0225,37485.014647
"103",2018-10-22,322.511,0.009,0,0,0,0,0,0,0,0,0,25.7996997833252,4.29180002212524,4.65829992294312,2040.8538572753,0.0225,37485.014647
