variable,sample_idx,pct_change,prediction
Y_-2,169,-0.1,405.2039
Y_-2,170,-0.1,404.07968
Y_-2,171,-0.1,403.3189
Y_-2,172,-0.1,403.0588
Y_-2,173,-0.1,402.3406
Y_-2,174,-0.1,401.3124
Y_-2,0,-0.09000000000000001,395.52527
Y_-2,1,-0.09000000000000001,397.54163
Y_-2,2,-0.09000000000000001,398.51315
Y_-2,3,-0.09000000000000001,396.24875
Y_-2,4,-0.09000000000000001,394.4609
Y_-2,5,-0.09000000000000001,396.50974
Y_-2,6,-0.09000000000000001,397.18704
Y_-2,7,-0.09000000000000001,396.5307
Y_-2,8,-0.09000000000000001,395.41006
Y_-2,9,-0.09000000000000001,396.11407
Y_-2,10,-0.09000000000000001,397.2244
Y_-2,11,-0.09000000000000001,396.78818
Y_-2,12,-0.09000000000000001,395.24884
Y_-2,13,-0.09000000000000001,395.0836
Y_-2,14,-0.09000000000000001,395.10187
Y_-2,15,-0.09000000000000001,395.20932
Y_-2,16,-0.09000000000000001,393.41412
Y_-2,17,-0.09000000000000001,392.95142
Y_-2,18,-0.09000000000000001,394.80405
Y_-2,19,-0.09000000000000001,394.246
Y_-2,20,-0.09000000000000001,393.64172
Y_-2,21,-0.09000000000000001,393.85077
Y_-2,22,-0.09000000000000001,392.4568
Y_-2,23,-0.09000000000000001,391.55075
Y_-2,24,-0.09000000000000001,392.3898
Y_-2,25,-0.09000000000000001,391.33078
Y_-2,26,-0.09000000000000001,391.03287
Y_-2,27,-0.09000000000000001,390.84357
Y_-2,28,-0.09000000000000001,389.75577
Y_-2,29,-0.09000000000000001,390.5793
Y_-2,30,-0.09000000000000001,393.58725
Y_-2,31,-0.09000000000000001,392.66232
Y_-2,32,-0.09000000000000001,391.12234
Y_-2,33,-0.09000000000000001,393.23392
Y_-2,34,-0.09000000000000001,395.34805
Y_-2,35,-0.09000000000000001,394.24448
Y_-2,36,-0.09000000000000001,396.36758
Y_-2,37,-0.09000000000000001,398.02856
Y_-2,38,-0.09000000000000001,396.85083
Y_-2,39,-0.09000000000000001,398.21826
Y_-2,40,-0.09000000000000001,397.75717
Y_-2,41,-0.09000000000000001,396.39206
Y_-2,42,-0.09000000000000001,394.60898
Y_-2,43,-0.09000000000000001,394.21976
Y_-2,44,-0.09000000000000001,393.6738
Y_-2,45,-0.09000000000000001,395.3094
Y_-2,46,-0.09000000000000001,395.70212
Y_-2,47,-0.09000000000000001,395.0212
Y_-2,48,-0.09000000000000001,394.36353
Y_-2,49,-0.09000000000000001,393.3616
Y_-2,50,-0.09000000000000001,392.87637
Y_-2,51,-0.09000000000000001,393.57935
Y_-2,52,-0.09000000000000001,393.66385
Y_-2,53,-0.09000000000000001,394.45224
Y_-2,54,-0.09000000000000001,393.184
