"","Date","eur_close","Fed","MNB","ECB","mean_matolcsy","mean_varga","mean_nagy","mean_kinfo","max_matolcsy","max_varga","max_nagy","max_kinfo"
"1","2018-05-31","319.404","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"2","2018-06-03","319.766","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"3","2018-06-04","318.491","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"4","2018-06-05","318.665","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"5","2018-06-06","317.931","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"6","2018-06-07","318.367","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"7","2018-06-10","319.412","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"8","2018-06-11","320.972","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"9","2018-06-12","319.474","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"10","2018-06-13","320.226","0.0170","0.0090","0.0000","0","0","0","0","0","0","0","0"
"11","2018-06-14","322.625","0.0190","0.0090","0.0000","0","0","0","0","0","0","0","0"
"12","2018-06-17","322.302","0.0190","0.0090","0.0000","0","0","0","0","0","0","0","0"
"13","2018-06-18","323.642","0.0190","0.0090","0.0000","0","0","0","0","0","0","0","0"
"14","2018-06-19","322.097","0.0191","0.0090","0.0000","0.07660988","0","0","0","0.07660988","0","0","0"
"15","2018-06-20","323.395","0.0192","0.0090","0.0000","0"," 0.195363911","0","0","0"," 0.195363911","0","0"
"16","2018-06-21","325.906","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"17","2018-06-24","324.485","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"18","2018-06-25","325.433","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"19","2018-06-26","325.863","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"20","2018-06-27","327.332","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"21","2018-06-28","328.164","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"22","2018-07-01","328.925","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"23","2018-07-02","329.556","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"24","2018-07-03","327.043","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"25","2018-07-04","324.924","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"26","2018-07-05","323.314","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"27","2018-07-08","323.030","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"28","2018-07-09","323.491","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"29","2018-07-10","323.770","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"30","2018-07-11","325.286","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"31","2018-07-12","324.341","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"32","2018-07-15","322.990","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"33","2018-07-16","322.718","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"34","2018-07-17","323.109","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"35","2018-07-18","324.004","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"36","2018-07-19","326.170","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"37","2018-07-22","324.989","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"38","2018-07-23","326.161","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"39","2018-07-24","325.623","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"40","2018-07-25","325.071","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"41","2018-07-26","323.470","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"42","2018-07-29","322.177","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"43","2018-07-30","321.430","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"44","2018-07-31","320.130","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"45","2018-08-01","320.497","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"46","2018-08-02","320.855","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"47","2018-08-05","319.700","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"48","2018-08-06","319.883","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"49","2018-08-07","319.786","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"50","2018-08-08","319.470","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"51","2018-08-09","320.397","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"52","2018-08-12","322.850","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"53","2018-08-13","322.707","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"54","2018-08-14","322.753","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"55","2018-08-15","324.455","0.0191","0.0090","0.0000","0","0","0","0","0","0","0","0"
"56","2018-08-16","323.822","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"57","2018-08-19","322.899","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"58","2018-08-20","323.511","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"59","2018-08-21","323.470","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"60","2018-08-22","322.484","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"61","2018-08-23","324.256","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"62","2018-08-26","323.348","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"63","2018-08-27","323.553","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"64","2018-08-28","323.607","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"65","2018-08-29","325.281","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"66","2018-08-30","326.683","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"67","2018-09-02","326.240","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"68","2018-09-03","326.306","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"69","2018-09-04","327.371","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"70","2018-09-05","327.429","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"71","2018-09-06","325.728","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
"72","2018-09-09","324.888","0.0192","0.0090","0.0000","0","0","0","0","0","0","0","0"
